id,reg_date,first_name,last_name,email,phone,street,city,state,zipcode
26,12/2/08 23:19,michael,panek,dntisler@jumpstartlab.com,801-362-6000,1434 Wilson Ave.,Salt Lake City,UT,84105
841,1/17/09 14:21,kate,cebulski,orazrya1@jumpstartlab.com,801-550-5000,1033 Barbara Pl Apt 2,Salt Lake City,UT,84102
1933,1/21/09 22:00,megan,engel,bgc64@jumpstartlab.com,8015505000,219 Elizabeth St.,Salt Lake City,UT,84102
1940,1/21/09 22:03,kristen,gilbert,tpollins6@jumpstartlab.com,8015505000,1343 Ashwood Circle,Salt Lake City,UT,84121
1950,1/21/09 22:07,student,myett,wjang@jumpstartlab.com,8015505000,834 E. Pond View Way,Salt lake city,UT,84106
1956,1/21/09 22:09,adrienne,xx,rrthleen.oflaherty@jumpstartlab.com,8015505000,1213 Medical Plaza,Salt Lake City,UT,84121
1960,1/21/09 22:11,eileen,ludmer,mhulger@jumpstartlab.com,8015505000,723 11th Avenue,Salt Lake City,UT,84103
1966,1/21/09 22:13,alex,boozel,jyhiang@jumpstartlab.com,8015505000,220 A Street,Salt Lake City,UT,84103
1972,1/21/09 22:15,susan,berkley,ceebst.4@jumpstartlab.com,8015505000,1033 Barbara Pl,Salt Lake City,UT,84102
1979,1/21/09 22:17,emma,kopkin,sxcoffey@jumpstartlab.com,8015505000,1033 Barbara Pl,Salt Lake City,UT,84102
1988,1/21/09 22:19,kate,armacost,hgle.Saud@jumpstartlab.com,8015505000,1033 Barbara Pl,Salt Lake City,UT,84102
4246,2/1/09 17:14,lindsey,woolworth,eoeal@jumpstartlab.com,801 359-4000,350 south 200 east #406,salt lake city,UT,84111
4718,2/1/09 22:00,rich,wynn,vkrenzo.serna@jumpstartlab.com,8015505000,2887 Wainwright Road,Salt Lake City,UT,84109
